e1x,e2x,e1y,e2y,dist_eyes,nx,ny,nx+nw,ny+nh,nose_size,mx,my,mx+mw,my+mh,mouth_size
64,31,40,37,33.13608305,27,50,63,80,1080,25,72,65,96,960
33,67,41,40,34.0147027,30,54,62,80,832,32,82,59,98,432
33,68,41,48,35.6931366,28,53,56,76,644,32,82,59,98,432
69,34,45,37,35.90264614,28,51,59,77,806,22,80,53,98,558
34,68,38,44,34.525353,29,51,56,74,621,21,79,54,98,627
33,68,39,45,35.51056181,28,53,58,77,720,22,82,50,98,448
70,36,44,38,34.525353,32,53,56,73,480,24,80,54,98,540
70,36,44,38,34.525353,30,55,58,78,644,27,82,54,98,432
32,68,39,41,36.05551275,30,56,59,80,696,27,82,54,98,432
31,67,42,42,36,30,57,60,82,750,27,82,54,98,432
31,66,40,41,35.0142828,29,56,60,82,806,27,82,54,98,432
34,67,39,42,33.13608305,29,51,64,80,1015,26,73,66,97,960
33,68,39,40,35.0142828,31,54,63,80,832,26,73,66,97,960
31,67,40,43,36.12478374,29,56,62,83,891,26,73,66,97,960
31,67,40,43,36.12478374,29,55,61,81,832,31,82,59,99,476
33,69,38,42,36.22154055,30,54,62,80,832,29,83,56,99,432
34,66,39,42,32.14031736,29,54,56,77,621,27,80,57,98,540
69,34,44,40,35.22782991,28,52,57,76,696,24,80,54,98,540
69,34,44,40,35.22782991,29,53,57,77,672,25,80,56,99,589
33,69,40,44,36.22154055,30,56,58,79,644,28,82,56,99,476
35,69,41,45,34.23448554,31,56,60,80,696,28,82,56,99,476
35,69,41,45,34.23448554,29,55,57,79,672,29,81,57,97,448
34,65,33,38,31.40063694,23,42,65,77,1470,25,70,64,93,897
34,65,33,38,31.40063694,27,55,58,81,806,25,81,54,99,522
32,68,39,44,36.34556369,27,55,57,80,750,24,81,52,98,476
29,68,38,44,39.45883931,24,54,56,81,864,24,81,52,98,476
29,66,38,43,37.33630941,24,54,54,79,750,24,81,52,98,476
34,69,39,42,35.12833614,29,53,57,76,644,25,81,53,98,476
33,67,39,42,34.13209633,28,52,57,76,696,24,81,53,98,493
33,67,40,44,34.23448554,28,54,55,76,594,24,82,52,99,476
33,67,40,44,34.23448554,31,55,59,78,644,28,82,56,99,476
33,67,40,44,34.23448554,29,54,58,78,696,28,82,56,99,476
32,66,41,43,34.05877273,27,55,57,80,750,26,82,53,98,432
32,66,41,43,34.05877273,26,44,59,72,924,26,69,62,90,756
34,69,40,44,35.22782991,29,55,59,80,750,27,82,55,98,448
33,69,39,44,36.34556369,28,55,59,81,806,25,82,53,99,476
33,68,40,44,35.22782991,29,54,59,79,750,26,81,55,98,493
34,70,41,45,36.22154055,28,54,62,82,952,26,82,53,98,432
34,67,41,45,33.24154028,28,54,61,81,891,26,81,54,98,476
31,67,41,45,36.22154055,26,55,58,82,864,23,82,51,98,448
30,69,42,46,39.20459157,27,56,59,83,864,25,83,52,99,432
34,69,40,44,35.22782991,30,54,57,77,621,26,80,57,99,589
35,68,41,44,33.13608305,29,53,57,76,644,24,81,53,98,493
32,66,40,45,34.36568055,28,55,55,77,594,25,82,54,99,493
62,31,41,35,31.57530681,25,49,58,76,891,21,70,60,94,936
69,32,41,41,37,30,54,63,81,891,20,60,79,95,2065
69,32,41,41,37,31,52,58,74,594,26,79,58,98,608
69,32,41,41,37,31,52,57,74,572,27,79,58,98,589
34,67,38,42,33.24154028,28,53,57,77,696,26,82,55,99,493
68,33,45,36,36.138622,28,53,55,76,621,26,82,55,99,493
68,38,41,36,30.41381265,34,49,57,68,437,23,72,65,97,1050
36,71,37,43,35.51056181,31,51,57,73,572,25,77,60,98,735
36,70,37,43,34.525353,32,51,57,72,525,24,78,58,98,680
35,68,40,46,33.54101966,29,54,57,77,644,24,78,58,98,680
34,68,38,44,34.525353,27,52,54,75,621,21,79,54,99,660
29,60,37,42,31.40063694,24,49,56,75,832,20,70,59,94,936
36,67,37,43,31.57530681,29,53,56,76,621,24,79,56,98,608
35,68,40,45,33.37663854,28,55,57,79,696,25,82,54,99,493
35,68,41,45,33.24154028,28,54,58,79,750,23,82,52,99,493
34,66,39,44,32.38826948,28,54,58,79,750,23,82,52,99,493
33,67,39,44,34.36568055,28,54,58,79,750,25,81,53,97,448
36,67,39,44,31.40063694,31,53,59,76,644,26,78,59,97,627
37,70,40,45,33.37663854,30,55,58,78,644,26,80,54,97,476
35,72,38,44,37.48332963,29,55,61,82,864,26,80,54,97,476
35,69,39,44,34.36568055,29,56,59,81,750,25,82,53,99,476
68,35,45,40,33.37663854,30,55,57,78,621,27,81,56,98,493
58,29,41,36,29.42787794,24,50,57,78,924,22,72,61,95,897
34,68,39,45,34.525353,28,55,57,79,696,24,81,52,98,476
34,67,39,45,33.54101966,29,54,58,78,696,25,81,54,98,493
34,67,39,45,33.54101966,28,53,59,79,806,22,80,52,98,540
34,67,39,45,33.54101966,28,53,59,79,806,24,79,56,98,608
34,68,40,46,34.525353,30,54,56,75,546,22,78,55,98,660
34,68,40,46,34.525353,28,56,57,80,696,22,78,55,98,660
